Email_Subject,Email_Content,Sending_Date,Sending_Time,Day,URL_Title,CoinedWord,Sender_Title,Closing_Remarks,Sender_Email,Label
ÃMissed Call,caller left a message for you,2020-01-09,1.12 PM,tue,http://example.com/PHISHING_TEST/row65,message,No data provided,No data provided,No data provided,1.0
I BRING CALVARY GREETNG FROM MRS.SUZAN BONI.,money for cancer diagnosied,2020-01-09,8.35am,tue,http://example.com/PHISHING_TEST/row66,"cancer, diseases, ",No data provided,No data provided,No data provided,1.0
please update ppayment,"update payment  and payment declined, ",2020-01-09,8.50am,mon,http://example.com/PHISHING_TEST/row67,"decline, update, payment, failed",Y,S.incerely,Y,1.0
Work Code of Conduct,work conduct for employee in an institution,2020-01-09,7.36pm,mon,http://example.com/PHISHING_TEST/row68,"HR, code, employment",Y,"Regards,",Y,1.0
Incoming Email issues,email issues from office 365,2020-01-09,7.48am,mon,http://example.com/PHISHING_TEST/row69,"issues, email, account,recover, hold",Y,Sincerely,Y,1.0
ÃYour PayPal Payment Receipt of $649.99 to **MCAFEE LLC,"statement of payment , transaction details and log into PayPal account  ",2020-01-09,8.39.55am EDT,tue,http://example.com/PHISHING_TEST/row70,"transaction, payment, account",Y,No data provided,Y,1.0
Pet Sitter Needed,"I need someone to look after my pet, $350 weekly",2020-01-09,5.53 pm,wed,http://example.com/PHISHING_TEST/row71,"needed, ad, ",Y,"Thanks,",Y,1.0
lncoming emails rejected,offi e 365 was unable to deliver ,2020-01-09,1.34pm,fri,http://example.com/PHISHING_TEST/row72,"rejected, unable,",Y,No data provided,Y,1.0
Update ID: Review Message,need to validate account ,2020-01-09,7.40om GMT,tue,http://example.com/PHISHING_TEST/row73,"validate, request,update",Y,No data provided,Y,1.0
We Need Your Confirmation,fund in office that we like to make some clarification,2020-01-09,7.42.13 am,wed,http://example.com/PHISHING_TEST/row74,"confirmation, ",Y,Yours in servic,Y,1.0
Email Security Alert,email storage exceeded the limit and need to upgrade immidiately. ,2020-01-09,8.36 am,wed,http://example.com/PHISHING_TEST/row75,"exceeded, upgraded, alert, secuirty, data lost,immidiately",Y,No data provided,Y,1.0
Doc___gn Received : ScannedAgreementDOC012.Pdf,doc shared,2020-01-09,3.30pm,tue,http://example.com/PHISHING_TEST/row76,shared,Y,"Thank you,",Y,1.0
Employment Opportunity,"personal assistant, employment opportunity",2020-01-09,8.17pm,mon,http://example.com/PHISHING_TEST/row77,"employment, immidiately",Y,Thank you,Y,1.0
Puppy Sitter:,need puppy sitter ,2020-01-09,7.47am,thur,http://example.com/PHISHING_TEST/row78,"employment, ",Y,No data provided,Y,1.0
Payment receipt,remittance advice for payment ,2020-01-09,12.20pm,thur,http://example.com/PHISHING_TEST/row79,payment,Y,No data provided,Y,1.0
ÃBusiness/Partnership,deal and interest in business,2020-01-09,1.13am,fri,http://example.com/PHISHING_TEST/row80,benefits,Y,Sincerely,Y,1.0
SCAN5655,shared file,2020-01-09,12.00pm,thur,http://example.com/PHISHING_TEST/row81,share,Y,No data provided,Y,1.0
FW: Action Required: Update your payment information now,payment against office 365 subscription was failed,2020-01-09,9.04pm,wed,http://example.com/PHISHING_TEST/row82,"failed, subscription, payment,admin, update,remove,request",Y,Regards,Y,1.0
ÃFW: Action Required: Update your payment information now,payment declined for office 365,2020-01-09,7.52pm,wed,http://example.com/PHISHING_TEST/row83,"update, declined, payment, ",No data provided,"Sincerely,",No data provided,1.0
Due Invoice 10355697 From Cortland Line Company,"file shared about invoices , financial",2020-01-09,12.04 pm,mon,http://example.com/PHISHING_TEST/row84,"invoice, payment",Y,No data provided,No data provided,1.0
Help,"donating, lottery winner",2020-01-09,1.30 am,tue,http://example.com/PHISHING_TEST/row85,"pay, money",Y,No data provided,Y,1.0
KSU Email Notification,email notification regarding fedaral law violation and identity and verification,2020-01-09,6.09PM,Fri,http://example.com/PHISHING_TEST/row86,"verificationerror, violates, ",Y,"Sincerely,",Y,1.0
"ÃDear Web-mail User,","remail pending for database upgrade, validate emial account",2020-01-09,6.39PM,fri,http://example.com/PHISHING_TEST/row87,"validate, required, upgrade, ",Y,Thanks,Y,1.0
Remittance Payment Advice,attched payment details,2020-01-09,12.42pm,thur,http://example.com/PHISHING_TEST/row88,payment,No data provided,Regards,No data provided,1.0
Nancy Smith is inviting you to collaborate on Project Docs,Project docs,2020-01-09,11.15.53am,thur,http://example.com/PHISHING_TEST/row89,"project, education",No data provided,Thanks,No data provided,1.0
Project LR342 Quote Request,"project work share, collaboration",2020-01-09,7.14am,wed,http://example.com/PHISHING_TEST/row90,"peoject, education, request",No data provided,No data provided,No data provided,1.0
ÃPet Sitter Job,job pet sitter,2020-01-09,11.53am,wed,http://example.com/PHISHING_TEST/row91,employment,No data provided,No data provided,No data provided,1.0
"Kent Validation Request on May 01, 2019, 03:00 AM","secuirty update, recommend to validate",2020-01-09,03.00am,wed,http://example.com/PHISHING_TEST/row92,"security, validate, request",Y,Regards,Y,1.0
(1) Your account has been limited. ID: #R5131.6D9R406MH,office account has limited for payment failing,2020-01-09,5.12.30pm,tue,http://example.com/PHISHING_TEST/row93,"limited, validate, account,failed,transaction",Y,"Best regards,",Y,1.0
ADVICE OF DEBIT - BANK CONFIDENTIAL,schedule payment in bank in personal checkin account,2020-01-09,12.03pm,mon,http://example.com/PHISHING_TEST/row94,"payment,account, confidential",Y,"Respectfully yours,",Y,1.0
Message - Time 0:55 Seconds,ausio attached with link,2020-01-09,1.23,fri,http://example.com/PHISHING_TEST/row95,,Y,No data provided,Y,1.0
ÃKent Admin #O38A3S#,mandatory account review process,2020-01-09,2.37pm,Fri,http://example.com/PHISHING_TEST/row96,"mandatory, acount, require, admin, incorrect",Y,No data provided,Y,1.0
Invoice for Service,invoiced for completed work,2020-01-09,12.00pm,fri,http://example.com/PHISHING_TEST/row97,"invoice, payment",Y,No data provided,Y,1.0
P_nd_ng Document,onedrive pending doc,2020-01-09,10.20am,thur,http://example.com/PHISHING_TEST/row98,document,Y,No data provided,Y,1.0
Ã[IMPORTANCE] Login Review Required On Kent Email Account,verify password for login interruption,2020-01-09,10.15.29am EDT,tue,http://example.com/PHISHING_TEST/row99,"verify, account,interruption",Y,No data provided,Y,1.0
ÃPaperWorks,document sharepoint,2020-01-09,2.41pm,tue,http://example.com/PHISHING_TEST/row100,"share, education, ",Y,"Sincerely,",No data provided,1.0
"Kent Request Created on 23 April, 2019 ID: #5KGI6T#","Due to request, you created ID, we need to validate ",2020-01-09,10.57am,Tue,http://example.com/PHISHING_TEST/row101,"validate, request,",Y,No data provided,Y,1.0
RE: You're about to lose access to your Office subscription,subscription offcie 365,2020-01-09,2.03am edt,tue,http://example.com/PHISHING_TEST/row102,"subscription, disable, access, admin, payment",Y,No data provided,Y,1.0
(1) Failed to process your Credit Card,credir card process failure,2020-01-09,5.56pm,wed,http://example.com/PHISHING_TEST/row103,"finance, payment, transaction, invoice, failed, ",Y,"Best regards,",Y,1.0
Easiest way to claim $1000?,clain money by watching videos,2020-01-09,12.47pm EDT,tue,http://example.com/PHISHING_TEST/row104,"clain, money, ",No data provided,No data provided,No data provided,1.0
The Dwyer Group N0TlFlCATl0N,shared document,2020-01-09,11.55am,tue,http://example.com/PHISHING_TEST/row105,"notification, share",Y,No data provided,Y,1.0
"ÃJason Downing shared ""Proposal_(1)"" with you.",doc shared,2020-01-09,12.52pm,tue,http://example.com/PHISHING_TEST/row106,"share, doc, education",Y,No data provided,Y,1.0
"Kent Service U_d_t_ 15 April, 2019 RefID:XYO2OH",validating account,2020-01-09,3.22pm,tue,http://example.com/PHISHING_TEST/row107,"share, validate, account, deactivate",Y,No data provided,Y,1.0
ÃKent Request Created,validating email account,2020-01-09,4.23am,tue,http://example.com/PHISHING_TEST/row108,"validate, account, request",Y,No data provided,Y,1.0
NEED URGENT QUOTE,cargo need to shio from your country to china asap,2020-01-09,5.10am,mon,http://example.com/PHISHING_TEST/row109,urgent,No data provided,No data provided,No data provided,1.0
Payroll,attached document for payroll,2020-01-09,7.17pm,thur,http://example.com/PHISHING_TEST/row110,"tax, payroll, doc",Y,No data provided,Y,1.0
ÃCoaching service,coaching service available ,2020-01-09,11.30am,wed,,service,Y,Thanks,Y,11.0
MESSAGE ALERT,doc and audio ,2020-01-09,10.22am,wed,http://example.com/PHISHING_TEST/row112,"doc, share, alert",Y,No data provided,Y,1.0
A document has been sent to you via eÃ_x Online,Document sent online,2020-01-09,11.35am,tue,http://example.com/PHISHING_TEST/row113,"share, sent, access, document",No data provided,No data provided,No data provided,1.0
ÃInitial Closing Disclosure - Escrow #7258300 / 3061 Vaughn Street,encrypted message,2020-01-09,2.28pm,tue,http://example.com/PHISHING_TEST/row114,encrypted,No data provided,No data provided,No data provided,1.0
Server Notification for Kent Alert,server detect undelivered emals. Malfucntions and termination,2020-01-09,5.55am,mon,http://example.com/PHISHING_TEST/row115,"active, termination, alert, notification, required, malfunction",Y,No data provided,Y,1.0
message notification,pdf ,2020-01-09,8.16pm,mon,http://example.com/PHISHING_TEST/row116,"notification, share, invoice, admin",Y,No data provided,Y,1.0
"[IMPORTANCE] Password Confirmation Required On kent.edu April 5, 2019, 7:29 PM Report Refrence Acc ID :35878U9LC8","one time confirmation, avoid login interruption, password verification",2020-01-09,3.29pm,fri,http://example.com/PHISHING_TEST/row117,"verification, interrution, account, required, avoid, confirmation",Y,No data provided,Y,1.0
ÃMarch Statement - Kent,payroll has been submitteed. ,2020-01-09,5.18pm,fri,http://example.com/PHISHING_TEST/row118,"payroll, statement, admin",Y,No data provided,Y,1.0
ÃRE: Your Office 365 Business Essentials Bill is ready,"office365 is ready. Payment, credit card",2020-01-09,11.46am,thur,http://example.com/PHISHING_TEST/row119,"account, payment,",Y,Thank you,Y,1.0
[Important] Login Review On Kent Users,microsoft password review,2020-01-09,12.53pm,tue,http://example.com/PHISHING_TEST/row120,"account, confirm, verification, interruptiom",Y,No data provided,Y,1.0
New Fax Message Fax. com Report[11],find attachment,2020-01-09,1.30pm,mon,http://example.com/PHISHING_TEST/row121,doc,Y,No data provided,Y,1.0
Coaching Inquiry,coaching my son,2020-01-09,11.02am,sun,http://example.com/PHISHING_TEST/row122,"inquiry, employment",Y,Thanks,Y,1.0
Job,resume attached,2020-01-09,11.44am,sat,http://example.com/PHISHING_TEST/row123,"job, employment",Y,No data provided,Y,1.0
From The Desk Of Mr William C.Dudley,"federal reserve bank, record of outstanding payment with federal government, ",2020-01-09,11.18am,sat,http://example.com/PHISHING_TEST/row124,"payment, bank, federal, requested",Y,"Sincerely,",Y,1.0
New fax from: Fax Service....,new fax,2020-01-09,8.57am,fri,http://example.com/PHISHING_TEST/row125,"enclosed, processed, received",No data provided,No data provided,No data provided,1.0
ÃMake Kent State Home,message,2020-01-09,5.41am,wed,http://example.com/PHISHING_TEST/row126,doc,Y,Yours in servic,Y,1.0
3/26 *** Due,pdf file,2020-01-09,1.52pm,tue,http://example.com/PHISHING_TEST/row127,shared doc,No data provided,No data provided,Y,1.0
Kennard is inviting you to collaborate on Past Due Invoice 100219,invoice due,2020-01-09,9.09pm,tue,http://example.com/PHISHING_TEST/row128,"invoice, payment",Y,Thanks,Y,1.0
"ÃI'M SORRY, Apology insideÃ","internet business, access",2020-01-09,7.09pm EDT,tue,http://example.com/PHISHING_TEST/row129,"access, hidden, serious, ",Y,No data provided,Y,1.0
Re: Office 365 - Check Your Account before is be deleted,offcie 365 essentials is ready,2020-01-09,9.57am,fri,http://example.com/PHISHING_TEST/row130,"invoice,deleted, account",Ba,No data provided,Y,1.0
PO #0210-,Here is the purchase order in relation to client request,2020-01-09,10.07am,fri,http://example.com/PHISHING_TEST/row131,"request, gift card",No data provided,Thank you,Y,1.0
ÃRE: QUOTE STATEMENT,Please confirm if quoting is available for statement below,2020-01-09,3.18am,thur,http://example.com/PHISHING_TEST/row132,"confirm, statement",Y,Thank you,Y,1.0
"Here's a way to ""earn while you learn","ttrade stocks , supplement income",2020-01-09,10.04pm,tue,http://example.com/PHISHING_TEST/row133,"earn, income",Y,No data provided,Y,1.0
ÃPreliminary CD Package Has Been Generated,Your documents s can be retrieved at,2020-01-09,12.48pm,wed,http://example.com/PHISHING_TEST/row134,package,Y,Sincerely,Y,1.0
Audio Received From,ms voice audio,2020-01-09,7.52AM,wed,http://example.com/PHISHING_TEST/row135,attachment,Y,Yours in servic,Y,1.0
Instant Action Requested From You,You have the spot reserved but we need you to complete your activation now,2020-01-09,8.00AM EDT,tue,http://example.com/PHISHING_TEST/row136,"requested, immidiately, confirm, activation",Y,Thanks,Y,1.0
ÃYou've 2 Voicemail,voice message for you,2020-01-09,12.08pm,fri,http://example.com/PHISHING_TEST/row137,"message, ",Y,Regards,Y,1.0
Regarding Job,job possition apply,2020-01-09,8.47AM,fri,http://example.com/PHISHING_TEST/row138,"job, employment,",Y,"Best regards,",Y,1.0
Ref:,most of your incoming email due to your mail session expiration ,2020-01-09,1.30PM,wed,http://example.com/PHISHING_TEST/row139,"expiration, upgrade, re-validation, pending",Y,"Best regards,",Y,1.0
no subject,You received VM from,2020-01-09,12.14PM,wed,http://example.com/PHISHING_TEST/row140,,No data provided,No data provided,No data provided,1.0
"Good day,",,2020-01-09,6.00PM,wed,http://example.com/PHISHING_TEST/row141,"payment, deceived",Y,Thanks,Y,1.0
(Your Requested Username for jobs.kent.edu),your requested username for jons.kent,2020-01-09,10.56am,tue,http://example.com/PHISHING_TEST/row142,request,Y,No data provided,Y,1.0
Your February account statement is available.,account statement available,2020-01-09,9.12pm,tue,http://example.com/PHISHING_TEST/row143,"acount, statement, access, ",Y,No data provided,Y,1.0
Opcuanet - (Annual Conference Topic Suggestions),doc link,2020-01-09,1.10pm,tue,http://example.com/PHISHING_TEST/row144,"conference, education",Y,No data provided,Y,1.0
ÃIntuit Support: Action Required,Your bank retuned the direct deposit for the payroll,2020-01-09,2.29pm,tue,http://example.com/PHISHING_TEST/row145,"action, required, payroll, bank",Y,No data provided,Y,1.0
ÃCc: (RE: Workshop at John Carroll University this Saturday),link for email opning,2020-01-09,8.20am,tue,http://example.com/PHISHING_TEST/row146,workshop,No data provided,No data provided,No data provided,1.0
ATC/PTA Program,see attached below,2020-01-09,2.08pm,tue,http://example.com/PHISHING_TEST/row147,progran,Y,No data provided,Y,1.0
message notification,one drive ,2020-01-09,3.02pm,mon,http://example.com/PHISHING_TEST/row148,"notification, file",Y,No data provided,Y,1.0
Lesson Coach Needed,looking for hiring coach,2020-01-09,12.13pm,mon,http://example.com/PHISHING_TEST/row149,"job, needed, hire, available",Y,Regard,Y,1.0
INVOICE#89774-DOC,one drive message,2020-01-09,9.11am,mon,http://example.com/PHISHING_TEST/row150,"invoice, shared",Y,No data provided,Y,1.0
Re: Correct shipment info needed.,"package, delivery address, seems incorrect",2020-01-09,8.11am,mon,http://example.com/PHISHING_TEST/row151,"shipment, incorrect, delivery",Y,No data provided,Y,1.0
Action required: Confirm your info to keep a PayPal Balance,paymal money sending issue,2020-01-09,02.00AM EST,tue,http://example.com/PHISHING_TEST/row152,"required, cofirm, action, money, account",Y,No data provided,Y,1.0
You have new Google Drive Doc message,shared document,2020-01-09,11.52AM,sat,http://example.com/PHISHING_TEST/row153,"file, share,docx",Y,No data provided,Y,1.0
Your Earning For March 2019.,payroll earning statement for direct deposit available,2020-01-09,5.13AM,fri,http://example.com/PHISHING_TEST/row154,"payroll, statement, admin",Y,No data provided,Y,1.0
1KH0/613FV1/USA,cancel surgery,2020-01-09,4.38PM,thur,http://example.com/PHISHING_TEST/row155,diseases,Y,Yours,Y,1.0
Call Delivery note from Trusted Source,new voice ,2020-01-09,9.17am,thur,http://example.com/PHISHING_TEST/row156,"file, share,docx",Y,No data provided,Y,1.0
View Secure PDF,has sent you your important document,2020-01-09,8.03am,thur,http://example.com/PHISHING_TEST/row157,"secure, review",Y,Regards,Y,1.0
ÃListen to Voicenote,voicemessage notification,2020-01-09,12.42am,thur,http://example.com/PHISHING_TEST/row158,notification,Y,No data provided,Y,1.0
Terms of Service.,your document has been completed,2020-01-09,1.41pm,wed,http://example.com/PHISHING_TEST/row159,"closing, attachment",No data provided,No data provided,No data provided,1.0
Preliminary CD and Other Closing Docs Attached Closing Set for 03/08/2019,your document has been completed,2020-01-09,1.41pm,wed,http://example.com/PHISHING_TEST/row160,"closing, attachment",No data provided,No data provided,No data provided,1.0
Notification,ms verification alert,2020-01-09,9.43am,wed,http://example.com/PHISHING_TEST/row161,"verification, notification, update, account, deleted,",Y,Regards!,Y,1.0
Urgent Account Notice,your mailboc failed to sync,2020-01-09,5.20am,tue,http://example.com/PHISHING_TEST/row162,"urgent, notice, account, failed, password, ",Y,No data provided,Y,1.0
YOUR DIPLOMATIC PACKAGE,"package deposit, realiability",2020-01-09,5.22am,sun,http://example.com/PHISHING_TEST/row163,"notify, package, ",Y,"Thank you and i sincerely remain,",Y,1.0
Payroll Earning Statement for March 2019,"earning statement, parroll website",2020-01-09,5.56am,fri,http://example.com/PHISHING_TEST/row164,"account, payroll, statement, employee",No data provided,No data provided,No data provided,1.0
Ãsent you a document to review and sign,document,2020-01-09,11.27am,thur,http://example.com/PHISHING_TEST/row165,"review, sign",No data provided,No data provided,No data provided,1.0
Email Notification ( Treat Urgent ),email account recently signed,2020-01-09,12.43pm,fri,http://example.com/PHISHING_TEST/row166,notification,No data provided,No data provided,No data provided,1.0
(Secure Message) Re: Reminder : invoice 81736265,secure email,2020-01-09,15.13 EST,tue,http://example.com/PHISHING_TEST/row167,"invoice, secure",Y,Y,Y,1.0
Ã(Secure Email) Re: Open Invoice MR87103,secure email,2020-01-09,9.47am,tue,http://example.com/PHISHING_TEST/row168,"secure, invoice",Y,Y,Y,1.0
"[Reminder] Messages Delayed on kent.edu Email Account Today, 26 Feb 2019. Acc Id:22683aBHnH",doc attached,2020-01-09,12.29pm,tue,http://example.com/PHISHING_TEST/row169,"confirm, delay",Y,Y,Y,1.0
Ãimportant (re: Will you be one of the 15 for KSU student-athletes?),message attached,2020-01-09,4.27am,tue,http://example.com/PHISHING_TEST/row170,"important, ",Y,Y,Y,1.0
Tansaction Refund from Patti,refund confirmation,2020-01-09,2.59pm,fri,http://example.com/PHISHING_TEST/row171,"refund, transaction, confirmation, payment",Y,Y,Y,1.0
"Ã[IMPORTANCE] Password Verification on kent.edu Email Account Today, 22 Feb 2019. Acc Id:42775V65yf","one time confirmation,",2020-01-09,11.26am,fri,http://example.com/PHISHING_TEST/row172,"verification, account, confirmation",Y,Y,Y,1.0
New Message from a Caller,voice message for you,2020-01-09,10.16am,fri,http://example.com/PHISHING_TEST/row173,"message, ",Y,Y,Y,1.0
Transaction for invoice 36726579,thanks for working with us,2020-01-09,12.12pm,thur,http://example.com/PHISHING_TEST/row174,"transaction, payment, account, invoice",Y,Y,Y,1.0
Purchasing Order #0361,this is purchasing order,2020-01-09,11.53am,tue,http://example.com/PHISHING_TEST/row175,"purchasing, order, request",Y,Thank you,Y,1.0
"Ian shared ""eVoice Message"" with you.",doc attached,2020-01-09,2.30pm,thur,http://example.com/PHISHING_TEST/row176,"shared, message",Y,No data provided,Y,1.0
Your incoming email delivery reports,email ,2020-01-09,4.49pm,wed,http://example.com/PHISHING_TEST/row177,report,Y,No data provided,Y,1.0
new file,file,2020-01-09,11.54am,wed,http://example.com/PHISHING_TEST/row178,review,Y,No data provided,Y,1.0
Invoice Due,file for invoice,2020-01-09,11.26am,wed,http://example.com/PHISHING_TEST/row179,"review, sign",Y,No data provided,Y,1.0
Your incoming email delivery reports,file,2020-01-09,7.20pm,tue,http://example.com/PHISHING_TEST/row180,"delivery, report",Y,No data provided,Y,1.0
Notification Release Letter,filr,2020-01-09,9.10am,tue,http://example.com/PHISHING_TEST/row181,"notification, required, action, delayed",Y,No data provided,Y,1.0
URGENT,are you at office,2020-01-09,3.59Pm,thur,http://example.com/PHISHING_TEST/row182,"urgent,",Y,No data provided,Y,1.0
Payment from,this is your information today,2020-01-09,7.45am,thur,http://example.com/PHISHING_TEST/row183,"payment,notice, ",No data provided,"Best regards,",No data provided,1.0
Sales Contract PO:#224906999,2 new message,2020-01-09,9.32am,tue,http://example.com/PHISHING_TEST/row184,"sales, review",Y,Thanks,Y,1.0
new bill from Ian,your bill is here,2020-01-09,2.15pm,tue,http://example.com/PHISHING_TEST/row185,"bill, ",Y,Thank you,Y,1.0
Re: Payment Invoice,please check your ,2020-01-09,2.17am EST,tue,http://example.com/PHISHING_TEST/row186,"invoice, payment",Y,Thank you,Y,1.0
KSU Infringement,"email has been reposted , regulation",2020-01-09,11.21am EST,tue,http://example.com/PHISHING_TEST/row187,"reported, regulations, policies",Y,Sincerely,Y,1.0
We recieved your request,request to deactivate,2020-01-09,2.11pm,tue,http://example.com/PHISHING_TEST/row188,"request, cancel, deactivate, ",Y,No data provided,Y,1.0
,,2020-01-09,1.41pm,tue,,,No data provided,No data provided,No data provided,
